attributeName	code	definition
Notes	1-3 lesions/1 leaf/1 plant	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	clicker may have gotten stuck (i.e. number may be one or two higher than this)	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	accidentally pulled out 1 Mv and 2 Ev (included in total)	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	accidentally pulled out 1 Ev (included in total)	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	lots of herbivore scratching	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"1 lesion/1 leaf/1 plant, lots of herbivore scratching"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	accidentally pulled out 2 Evs (included in the total)	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"accidentally pulled 1 Ev, 1-3 lesions/1 leaf/1 plant"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"1-2 lesions/1-2 leaves, Ev infection on small leaves, so it is hard to know if it is infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"not to be used for germination data, clicker may have gotten stuck (i.e. number may be 1 or 2 higher)"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	1-3 lesions/1 leaf/ 1plant	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"accidentally pulled 1 Ev (included in total), 1 lesion/1 leaf/1 plant, Ev small leaves (hard to ID infection)"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	1-4 lesions/1-2 leaves/1 plant	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	accidentally pulled out 1 Ev and re-planted it (included in total)	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	infection may be herbivory	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	brown speckles on lower leaves	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	2-3 lesions/1-2 leaves/1 plant	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"1 lesion/leaf with 1-2 leaves/plant, mostly bottom leaves"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	Might be other infection coming from soil	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	Pulled out 1	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	Thinned	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	Lots of spots/senescence which could be other infection or stress- didn't count	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"Especially hard to count, very tangled. Pulled out 1 Mv"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	most of the infected were not grouped on same plants	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	thorough search for infection	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"small plants or lower leaves infected, thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"nothing entered for Infected Mv, but there were no samples in the plastic bag"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"infection on edge, thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"3 infections occurred on higher leaves with a lesion on the edge (didn't include because other searches were restricted to lower leaves), one was on a low/small plant, thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"Mv infection on the edge (didn't record whether these were high or low leaves, so they are left in), thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"2 infections on lower leaves, 1 is higher and on the edge (didn't include because other searches were restricted to lower leaves), thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"Mv infection on small plant, thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"the Ev numbers were entered in 5 High Mv, but I think they belong here because these were missing, thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
Notes	"1 infection low, 1 high and on edge (didn't include because other searches were restricted to lower leaves), thorough search for infection"	"for all notes, Mv = Microstegium vimineum, Ev = Elymus virginicus, germination = establishment, infection = at least two foliar lesions"
